num_respondents,num_tasks,num_attrbs,num_lvls,true_coef,est_coef,est_se,est_se_robust,sig,sig_robust,in_ci95,in_ci95_robust,typeS,typeS_robust,typeM,typeM_robust
,,,,,,,,,,,,,,,
7558,1,5,2,0.01,0.00149821546238438,0.00812713580062153,0.00828284194098173,0,0,1,1,,,,
7558,1,5,2,0.01,0.0272443641829434,0.00813006727702346,0.00825792076543461,1,1,0,0,1,1,2.72443641829434,2.72443641829434
7558,1,5,2,0.01,-0.00120773981569103,0.00813222955896706,0.00822300524971857,0,0,1,1,,,,
7558,1,5,2,0.01,0.0182771546333678,0.00813314997568724,0.00827938783477948,1,1,1,1,1,1,1.82771546333678,1.82771546333678
7558,1,5,2,0.01,0.0126487493264006,0.00813261433072014,0.0082202304879955,0,0,1,1,,,,
7558,1,5,2,0.01,0.00951016583874056,0.00813327052744752,0.00834961601006642,0,0,1,1,,,,
7558,1,5,2,0.01,0.012567786224786,0.00813414064793021,0.008255066810511,0,0,1,1,,,,
7558,1,5,2,0.01,0.00782747031875522,0.00813036576403708,0.00831354377298833,0,0,1,1,,,,
7558,1,5,2,0.01,0.0040555128369326,0.00813604688675646,0.00828179525491896,0,0,1,1,,,,
7558,1,5,2,0.01,0.0143166394599087,0.00813580224716649,0.00819047050062701,0,0,1,1,,,,
7558,1,5,2,0.01,0.00190601577887059,0.0081347110688651,0.00823960179925442,0,0,1,1,,,,
7558,1,5,2,0.01,0.00447459211773324,0.00813146391885726,0.00827134886283355,0,0,1,1,,,,
7558,1,5,2,0.01,0.0179811504388807,0.00813231833115514,0.00818636857085705,1,1,1,1,1,1,1.79811504388807,1.79811504388807
7558,1,5,2,0.01,0.00405760028523873,0.00813436988825809,0.00825089902961943,0,0,1,1,,,,
7558,1,5,2,0.01,0.0100800889561762,0.00813204550648165,0.00827289324412703,0,0,1,1,,,,
7558,1,5,2,0.01,0.0244318327455443,0.00813039983313958,0.00831253286697802,1,1,1,1,1,1,2.44318327455443,2.44318327455443
7558,1,5,2,0.01,0.0131710133539926,0.00813339034633322,0.00821475718305608,0,0,1,1,,,,
7558,1,5,2,0.01,0.0150400427103536,0.00813365736127436,0.00827391520680983,0,0,1,1,,,,
7558,1,5,2,0.01,0.0132669573375992,0.00813225846076993,0.00827570475089045,0,0,1,1,,,,
7558,1,5,2,0.01,0.0144408417022824,0.0081338542411184,0.008277015265223,0,0,1,1,,,,
7558,1,5,2,0.01,0.00123086632910348,0.00813628997739789,0.00830849415685461,0,0,1,1,,,,
7558,1,5,2,0.01,0.00658238864259014,0.00813464762942088,0.0082932077659841,0,0,1,1,,,,
7558,1,5,2,0.01,0.0295332265714842,0.00813029787638595,0.00831251862697912,1,1,0,0,1,1,2.95332265714842,2.95332265714842
7558,1,5,2,0.01,0.0112432359376704,0.00813196595938622,0.0082883000656974,0,0,1,1,,,,
7558,1,5,2,0.01,-0.00472021809460489,0.0081285594432671,0.00823779971737476,0,0,1,1,,,,
